class_label,caution_and_advice,displaced_people_and_evacuations,infrastructure_and_utility_damage,injured_or_dead_people,missing_or_found_people,not_humanitarian,other_relevant_information,requests_or_urgent_needs,rescue_volunteering_or_donation_effort,sympathy_and_support
caution_and_advice,0.46774193548387094,0.03225806451612903,0.06451612903225806,0.0,0.0,0.016129032258064516,0.25806451612903225,0.04838709677419355,0.11290322580645161,0.0
displaced_people_and_evacuations,0.1,0.675,0.0,0.0,0.025,0.0,0.025,0.025,0.125,0.025
infrastructure_and_utility_damage,0.004032258064516129,0.05241935483870968,0.7298387096774194,0.020161290322580645,0.0,0.012096774193548387,0.04435483870967742,0.04032258064516129,0.056451612903225805,0.04032258064516129
injured_or_dead_people,0.006600660066006601,0.033003300330033,0.026402640264026403,0.7656765676567657,0.006600660066006601,0.006600660066006601,0.0231023102310231,0.039603960396039604,0.033003300330033,0.0594059405940594
missing_or_found_people,0.0,0.0,0.0,0.15384615384615385,0.6923076923076923,0.0,0.0,0.0,0.15384615384615385,0.0
not_humanitarian,0.03571428571428571,0.017857142857142856,0.017857142857142856,0.017857142857142856,0.0,0.44642857142857145,0.23214285714285715,0.0,0.05357142857142857,0.17857142857142858
other_relevant_information,0.0456140350877193,0.03508771929824561,0.08421052631578947,0.028070175438596492,0.007017543859649123,0.07719298245614035,0.3684210526315789,0.03859649122807018,0.2,0.11578947368421053
requests_or_urgent_needs,0.01,0.0,0.01,0.0,0.0,0.0,0.03,0.41,0.51,0.03
rescue_volunteering_or_donation_effort,0.0030581039755351682,0.020642201834862386,0.016055045871559634,0.0030581039755351682,0.0022935779816513763,0.008409785932721712,0.05122324159021407,0.020642201834862386,0.8577981651376146,0.016819571865443424
sympathy_and_support,0.005917159763313609,0.011834319526627219,0.0029585798816568047,0.005917159763313609,0.0029585798816568047,0.0029585798816568047,0.008875739644970414,0.01775147928994083,0.13313609467455623,0.8076923076923077
